Serial Number,Category,Site No,CSN View,ASR Name,ASR EMail,SAM Name,Modem,Site Name,City,State,Installed,Install Status,Contract Line Start,Contract Line End,Entitlement Status,Last Connect Home Date,Model,TLA Part Number,District,Country,SYR Derived Code,SYR Derived Source,Install Base Code,Target Microcode,CE Email,Theater,Division,Region
04000340,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,10/20/2010 9:23,Install,10/20/2010,2/19/2013,Not Entitled,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04000516,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,10/22/2010 11:06,Install,10/22/2010,2/21/2013,Not Entitled,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04001818,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,1/3/2012 12:41,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04001834,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,1/3/2012 12:41,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04018999,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,12/31/2013 0:00,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04022126,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,12/31/2013 0:00,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04022375,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,12/30/2013 0:00,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04022378,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,12/30/2013 0:00,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
04022640,ESRS,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,12/30/2013 0:00,Install,,,,,ESRS-GW-200,953-002-303,District 9,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
3F738700,Data Domain,2461442,2461535,JOE CE,joe.ce@emc.com,,,CUSTOMER INC,PHOENIX,AZ,9/29/2013 0:00,Install,12/1/2013,11/30/2016,Entitled,,DD990-CTL-B,P-DD990-CTL,District 9,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Division 9,Region 9
